text,image_path,sentiment,will_rebuy
"Shop không chịu giải quyết vấn đề về chuột.",,0,0
"Đổi trả loa Bluetooth khó khăn, thủ tục rườm rà.",,0,0
"Tai nghe này không đúng với cam kết ban đầu.",,0,0
"Camera hành trình này chất lượng kém, mất uy tín.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,0,0
"Máy chiếu này bị thiếu phụ kiện.",,0,0
"Đóng gói chuột không cẩn thận, hàng bị méo.",Logitech POP Mouse Wireless.jpg,0,0
"Loa Bluetooth này dùng được, nhưng chưa chắc sẽ mua lại.",Bluetooth Bone Conduction Speaker.jpg,1,1
"Tai nghe này tạm ổn, có thể cân nhắc mua tiếp.",JLab JBuds Mini True Wireless Earbuds.jpg,1,1
"Camera hành trình này chất lượng ổn, có thể thử thêm sản phẩm khác.",,1,1
"Máy chiếu này không có gì đặc biệt nhưng cũng hài lòng.",Kodak Luma 75 Ultra Mini Projector.jpg,1,1
"Chuột này ổn, có thể sẽ mua lại sau.",Logitech POP Mouse Wireless.jpg,1,1
"Loa Bluetooth này tạm được, sẽ cân nhắc mua thêm.",,1,1
"Tai nghe này không quá tốt nhưng cũng không tệ.",,1,1
"Camera hành trình này có thể dùng được, chưa chắc mua lại.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,1,0
"Máy chiếu này bình thường, không rõ có mua lại không.",,1,0
"Chuột này tạm ổn nhưng chưa quyết định.",Logitech POP Mouse Wireless.jpg,1,0
"Loa Bluetooth này chưa có ý kiến gì đặc biệt.",,1,0
"Tai nghe này ok, chưa nghĩ đến việc mua lại.",,1,0
"Máy chiếu này tạm được, nhưng chưa muốn mua thêm.",,1,0
"Camera hành trình này không có gì để nói nhiều.",,1,0
"Chuột này có bảo hành bao lâu?",,1,0
"Loa Bluetooth này giá này có phải giá cuối cùng không?",,1,0
"Có chương trình khuyến mãi nào cho tai nghe không?",JLab JBuds Mini True Wireless Earbuds.jpg,1,1
"Camera hành trình này có phù hợp với xe hơi không?",,1,0
"Máy chiếu này có đủ độ sáng không?",Kodak Luma 75 Ultra Mini Projector.jpg,1,0
"Chuột này có dễ cài đặt không?",,1,0
"Loa Bluetooth này có mùi gì không?",,1,0
"Cho mình hỏi về cách sử dụng tai nghe.",,1,0
"Camera hành trình này có xuất xứ từ đâu?",,1,0
"Có thể đổi trả máy chiếu trong bao lâu?",,1,0
"Chuột này tốt, mình sẽ mua thêm.",Logitech POP Mouse Wireless.jpg,1,1
"Loa Bluetooth này ổn, có thể sẽ ủng hộ tiếp.",,1,1
"Tai nghe này không tệ, có thể cân nhắc mua lại.",JLab JBuds Mini True Wireless Earbuds.jpg,1,1
"Camera hành trình này đúng với giá tiền.",,1,1
"Máy chiếu này tạm hài lòng, sẽ xem xét mua thêm.",Kodak Luma 75 Ultra Mini Projector.jpg,1,1
"Cảm ơn shop đã giao hàng chuột đúng hẹn.",,1,1
"Loa Bluetooth này ổn, có thể sẽ mua lại.",Bluetooth Bone Conduction Speaker.jpg,1,1
"Tai nghe này chất lượng đúng với mô tả.",,1,1
"Camera hành trình này rất tốt, đóng gói đẹp.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,2,1
"Cảm ơn shop, máy chiếu như mong đợi.",,2,1
"Hài lòng với chất lượng chuột.",Logitech POP Mouse Wireless.jpg,2,1
"Sẽ mua thêm nhiều sản phẩm khác của shop.",,2,1
"Rất thích loa Bluetooth này, đúng chất lượng mong đợi.",Bluetooth Bone Conduction Speaker.jpg,2,1
"Tai nghe này xuất sắc, sẽ giới thiệu.",,2,1
"Shop phục vụ tốt về camera hành trình, sản phẩm chất lượng.",,2,1
"Cảm ơn shop đã tư vấn nhiệt tình về máy chiếu.",,2,1
"Rất hài lòng với trải nghiệm mua chuột.",,2,1
"Loa Bluetooth này vượt mong đợi, giá cả hợp lý.",,2,1
"Sẽ quay lại ủng hộ shop thường xuyên về tai nghe.",,2,1
"Camera hành trình này chất lượng tốt, đáng giá tiền.",,2,1
"Rất thích máy chiếu này của shop.",Kodak Luma 75 Ultra Mini Projector.jpg,2,1
"Chuột này giao hàng nhanh, đóng gói cẩn thận.",,2,1
"Loa Bluetooth này đẹp, đúng với hình ảnh.",Bluetooth Bone Conduction Speaker.jpg,2,1
"Cảm ơn shop, sẽ mua thêm nhiều tai nghe khác.",,2,1
"Rất hài lòng về camera hành trình, sẽ giới thiệu cho bạn bè.",,2,1
"Máy chiếu này tốt, giá cả phải chăng.",,2,1
"Shop phục vụ chuyên nghiệp và nhiệt tình về chuột.",,2,1
"Sẽ ủng hộ shop lâu dài về loa Bluetooth.",,2,1
"Tai nghe này chất lượng vượt trội so với mong đợi.",,2,1
"Rất vui với đơn hàng camera hành trình này.",,2,1
"Máy chiếu này đúng mô tả, rất hài lòng.",,2,1
"Cảm ơn shop đã giao hàng chuột đúng hẹn.",,2,1
"Sẽ mua thêm các sản phẩm khác của shop.",,2,1
"Rất thích loa Bluetooth này, đóng gói đẹp và cẩn thận.",,2,1
"Tai nghe này tốt, đáng đầu tư.",,2,1
"Cảm ơn shop, sẽ quay lại mua tiếp camera hành trình.",,2,1
"Rất hài lòng với chất lượng máy chiếu.",,2,1
"Chuột này đẹp, giao hàng nhanh.",,2,1
"Sẽ giới thiệu shop cho người thân về loa Bluetooth.",,2,1
"Cảm ơn shop đã phục vụ tốt về tai nghe.",,2,1
"Camera hành trình này tốt hơn mong đợi.",,2,1
"Rất thích máy chiếu này, sẽ mua thêm nhiều sản phẩm.",,2,1
"Chuột này đúng với hình ảnh và mô tả.",Logitech POP Mouse Wireless.jpg,2,1
"Rất hài lòng với dịch vụ của shop về loa Bluetooth.",Bluetooth Bone Conduction Speaker.jpg,2,1
"Loa Bluetooth này bị lỗi kỹ thuật, không hoạt động được.",Bluetooth Bone Conduction Speaker.jpg,0,0
"Shop giao hàng sai tai nghe, rất bực mình.",,0,0
"Camera hành trình này chất lượng quá tệ, không thể chấp nhận được.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,0,0
"Máy chiếu này có thể dùng thử không?",Kodak Luma 75 Ultra Mini Projector.jpg,1,0
"Cho mình hỏi về thời gian bảo hành chuột.",Logitech POP Mouse Wireless.jpg,1,0
"Loa Bluetooth này có thể trả lại nếu không hài lòng không?",,1,0
"Tai nghe này tạm được, có thể sẽ mua lại nếu cần.",JLab JBuds Mini True Wireless Earbuds.jpg,1,1
"Camera hành trình này ổn, sẽ cân nhắc mua thêm.",,1,1
"Máy chiếu này không tệ lắm, có thể sẽ ủng hộ tiếp.",Kodak Luma 75 Ultra Mini Projector.jpg,1,1
"Chuột này tốt, mình sẽ mua thêm lần sau.",Logitech POP Mouse Wireless.jpg,1,1
"Loa Bluetooth này rất hài lòng, sẽ quay lại mua tiếp.",Bluetooth Bone Conduction Speaker.jpg,2,1
"Tai nghe này tuyệt vời, đáng giá tiền.",JLab JBuds Mini True Wireless Earbuds.jpg,2,1
"Cảm ơn shop, camera hành trình chất lượng cao.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,2,1
"Sẽ giới thiệu shop cho nhiều người về máy chiếu.",,2,1
"Rất thích chuột này, sẽ mua thêm nhiều sản phẩm khác.",Logitech POP Mouse Wireless.jpg,2,1
"Loa Bluetooth này tốt, giá cả hợp lý.",Bluetooth Bone Conduction Speaker.jpg,2,1
